id	name
8	Albania
12	Algeria
16	American Samoa
24	Angola
31	Azerbaijan
32	Argentina
36	Australia
40	Austria
44	Bahamas
48	Bahrain
50	Bangladesh
51	Armenia
52	Barbados
56	Belgium
60	Bermuda
64	Bhutan
68	Bolivia, Plurinational State of
70	Bosnia and Herzegovina
72	Botswana
76	Brazil
84	Belize
100	Bulgaria
104	Myanmar
108	Burundi
112	Belarus
116	Cambodia
120	Cameroon
124	Canada
144	Sri Lanka
148	Chad
152	Chile
158	Taiwan, Province of China
170	Colombia
174	Comoros
188	Costa Rica
191	Croatia
196	Cyprus
203	Czech Republic
204	Benin
208	Denmark
212	Dominica
214	Dominican Republic
218	Ecuador
222	El Salvador
226	Equatorial Guinea
231	Ethiopia
233	Estonia
242	Fiji
246	Finland
250	France
262	Djibouti
266	Gabon
268	Georgia
270	Gambia
276	Germany
288	Ghana
292	Gibraltar
296	Kiribati
300	Greece
304	Greenland
308	Grenada
316	Guam
320	Guatemala
324	Guinea
328	Guyana
332	Haiti
340	Honduras
344	Hong Kong
348	Hungary
352	Iceland
356	India
360	Indonesia
372	Ireland
376	Israel
380	Italy
384	Côte d'Ivoire
388	Jamaica
392	Japan
398	Kazakhstan
400	Jordan
404	Kenya
410	Korea, Republic of
414	Kuwait
417	Kyrgyzstan
418	Lao People's Democratic Republic
426	Lesotho
428	Latvia
438	Liechtenstein
440	Lithuania
442	Luxembourg
446	Macao
450	Madagascar
458	Malaysia
462	Maldives
470	Malta
478	Mauritania
480	Mauritius
484	Mexico
492	Monaco
496	Mongolia
498	Moldova, Republic of
499	Montenegro
504	Morocco
508	Mozambique
512	Oman
516	Namibia
520	Nauru
524	Nepal
528	Netherlands
540	New Caledonia
548	Vanuatu
554	New Zealand
558	Nicaragua
562	Niger
566	Nigeria
578	Norway
580	Northern Mariana Islands
581	United States Minor Outlying Islands
583	Micronesia, Federated States of
584	Marshall Islands
585	Palau
591	Panama
598	Papua New Guinea
600	Paraguay
604	Peru
608	Philippines
616	Poland
620	Portugal
624	Guinea-Bissau
626	Timor-Leste
630	Puerto Rico
634	Qatar
638	Réunion
642	Romania
643	Russian Federation
646	Rwanda
652	Saint Barthélemy
654	Saint Helena, Ascension and Tristan da Cunha
659	Saint Kitts and Nevis
660	Anguilla
662	Saint Lucia
663	Saint Martin (French part)
666	Saint Pierre and Miquelon
670	Saint Vincent and the Grenadines
674	San Marino
678	Sao Tome and Principe
682	Saudi Arabia
686	Senegal
688	Serbia
690	Seychelles
694	Sierra Leone
702	Singapore
703	Slovakia
704	Viet Nam
705	Slovenia
710	South Africa
716	Zimbabwe
724	Spain
740	Suriname
748	Swaziland
752	Sweden
756	Switzerland
762	Tajikistan
764	Thailand
768	Togo
776	Tonga
780	Trinidad and Tobago
784	United Arab Emirates
788	Tunisia
795	Turkmenistan
796	Turks and Caicos Islands
798	Tuvalu
800	Uganda
804	Ukraine
807	Macedonia, the former Yugoslav Republic of
818	Egypt
826	United Kingdom
831	Guernsey
832	Jersey
833	Isle of Man
834	Tanzania, United Republic of
840	United States
850	Virgin Islands, U.S.
858	Uruguay
860	Uzbekistan
862	Venezuela, Bolivarian Republic of
882	Samoa
887	Yemen
894	Zambia
